,telegram_id,username,is_banned,excluded_from_airdrop
1417,370809134,bianjiaocai7,1,0
1418,370817246,Mieurat,1,0
1419,370847259,,1,0
1420,370854118,,1,0
1423,371045419,Corlulu59,1,0
1424,371081243,,1,0
1425,371118326,ouhechao5,1,0
1426,371193212,,1,0
1428,371431743,Halosemua22,1,0
1429,371504029,,1,0
1430,371509136,Israeluy1,1,0
1431,371551888,BurnellValentine,1,0
1432,371598007,,1,0
1434,371666382,Dynamique,1,0
1435,371671441,,1,0
1436,371707446,fakesaq,1,0
1437,371759372,,1,0
1440,372177344,daoyongkuang,1,0
1446,372628274,,1,0
1447,372720199,,1,0
1448,372855855,ruijitao55,1,0
1452,373084053,pipilac,1,0
1453,373097880,,1,0
1455,373244231,Baarrddiaa,1,0
1456,373266450,,1,0
1458,373305293,qvdhxawxgw,1,0
1459,373399749,,1,0
1465,373723561,NG_ID,1,0
1466,373789048,Zhan004,1,0
1467,373841881,Nghiaeuro,1,0
1468,373864967,duuphuongque,1,0
1471,374062142,,1,0
1474,374123562,,1,0
1475,374205336,YettaEmmie,1,0
1476,374250525,elgabo777,1,0
1478,374260401,elizabeth4patterson,1,0
1480,374364793,,1,0
1482,374628357,shenbitou,1,0
1484,374703488,,1,0
1485,374751710,,1,0
1486,374840304,gongjizi8,1,0
1488,374892730,Aloyss,1,0
1490,375037663,jiaotongye,1,0
1491,375107610,,1,0
1493,375328473,,1,0
1494,375456621,jingcimeng5,1,0
1495,375482351,zhaizhiyue2,1,0
1496,375529746,yeweiliang,1,0
1497,375568659,Wibii,1,0
1499,375761332,Shiyishazi,1,0
1500,375763207,,1,0
1501,375845702,guajihe,1,0
1502,375921120,,1,0
1504,375961820,titanlyy,1,0
1505,376139372,illushafun,1,0
1510,376406898,,1,0
1511,376552892,,1,0
1514,376756024,Anechkalakshmi,1,0
1515,376949672,ivan962242,1,0
1519,377208526,ToYesStore,1,0
1520,377208744,KormaxiP,1,0
1522,377315952,TotheMoonSun,1,0
1523,377383310,,1,0
1525,377441770,TrungSky,1,0
1526,377474845,Kingscorner017,1,0
1528,377541373,,1,0
1529,377627612,rustybox1989,1,0
1530,377793048,Mobi_virk,1,0
1531,378000873,shippou95,1,0
1532,378037247,,1,0
1533,378079220,renanan2,1,0
1534,378102216,,1,0
1535,378275026,,1,0
1536,378336001,pratikmodi53,1,0
1537,378351614,Oluwatosinmile91,1,0
1538,378368131,Drewmaster13,1,0
1541,378574671,ganshanfu,1,0
1543,378661090,RGONZALEZH1,1,0
1544,378707250,Mumuxiansen,1,0
1546,378816762,edisetiaa,1,0
1547,378820552,vanbun1,1,0
1551,379108064,timbek,1,0
1552,379159672,qtsnqkiwvw,1,0
1553,379280620,Tatarinx,1,0
1554,379294471,,1,0
1555,379315757,,1,0
1558,379644469,azharkits,1,0
1559,379763438,,1,0
1562,379913219,robert3modlin,1,0
1563,379929176,vagehsa,1,0
1564,379938799,Yatran,1,0
1565,379975365,,1,0
1568,380040998,Trotskiy88,1,0
1570,380112721,s426704323,1,0
1571,380131742,Virazr,1,0
1573,380150552,,1,0
